"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,117,"KAZ","Kazakhstan",1,"Almaty","KZ.AA",NA,"","Oblasy","Region","","Alma-Ata|Alma-Atinskaya Oblast'|Almatinskaya Oblast'"
2,117,"KAZ","Kazakhstan",2,"Aqmola","KZ.AM",NA,"","Oblasy","Region","","Akmolin|Akmolinsk|Tselinograd"
3,117,"KAZ","Kazakhstan",3,"Aqtöbe","KZ.AT",NA,"","Oblasy","Region","","Aktyubinsk"
4,117,"KAZ","Kazakhstan",4,"Atyrau","KZ.AR",NA,"","Oblasy","Region","","Ateransk|Gur'yev"
5,117,"KAZ","Kazakhstan",5,"East Kazakhstan","KZ.EK",NA,"","Oblasy","Region","","Shyghys Qazaqstan|Vostochno-Kazakhstan"
6,117,"KAZ","Kazakhstan",6,"Mangghystau","KZ.MG",NA,"","Oblasy","Region","","Mangistau|Mangyshlak"
7,117,"KAZ","Kazakhstan",7,"North Kazakhstan","KZ.NK",NA,"","Oblasy","Region","","Severo-Kazakhstan|Soltustik Qazaqstan"
8,117,"KAZ","Kazakhstan",8,"Pavlodar","KZ.PA",NA,"","Oblasy","Region","",""
9,117,"KAZ","Kazakhstan",9,"Qaraghandy","KZ.QG",NA,"","Oblasy","Region","","Karaganda|Karagandinskaya Oblast'"
10,117,"KAZ","Kazakhstan",10,"Qostanay","KZ.QS",NA,"","Oblasy","Region","","Kustanai|Kustanay"
11,117,"KAZ","Kazakhstan",11,"Qyzylorda","KZ.QO",NA,"","Oblasy","Region","","Kyzyl-Orda|Kzyl-Orda|Kzyl-Ordinskaya Oblast'"
12,117,"KAZ","Kazakhstan",12,"South Kazakhstan","KZ.SK",NA,"","Oblasy","Region","","Chimkent"
13,117,"KAZ","Kazakhstan",13,"West Kazakhstan","KZ.WK",NA,"","Oblasy","Region","","Ural'sk"
14,117,"KAZ","Kazakhstan",14,"Zhambyl","KZ.ZM",NA,"","Oblasy","Region","","Dzhambul"
