Day ,Date ,Infected ,Exposed ,Severe  Infected ,Quarantined ,Immunized ,Susceptible ,Dead ,Isolated
1,2020-03-01,0,29,0,0,0,18395654,0,0
2,2020-03-02,0,39,0,1,0,18395643,0,0
3,2020-03-03,0,57,0,2,0,18395624,0,0
4,2020-03-04,0,76,0,4,0,18395603,0,0
5,2020-03-05,0,97,0,5,0,18395581,0,0
6,2020-03-06,7,123,0,8,0,18395545,0,0
7,2020-03-07,25,144,0,9,0,18395503,0,2
8,2020-03-08,33,198,0,10,0,18395437,0,5
9,2020-03-09,52,274,0,15,0,18395335,0,7
10,2020-03-10,67,392,1,21,0,18395193,0,9
11,2020-03-11,90,516,2,25,0,18395040,0,10
12,2020-03-12,124,679,3,32,0,18394831,0,14
13,2020-03-13,186,794,3,41,0,18394640,0,19
14,2020-03-14,298,901,3,46,0,18394406,0,29
15,2020-03-15,444,990,5,59,0,18394150,0,35
16,2020-03-16,564,1152,7,68,0,18393842,0,50
17,2020-03-17,747,1318,10,86,0,18393461,0,61
18,2020-03-18,921,1573,13,97,0,18393001,0,78
19,2020-03-19,1145,1614,19,125,0,18392676,0,104
20,2020-03-20,1324,1719,25,172,0,18392319,0,124
21,2020-03-21,1596,1771,33,167,14,18391923,0,179
22,2020-03-22,1918,1636,44,171,14,18391671,0,229
23,2020-03-23,2281,1483,60,139,15,18391405,0,300
24,2020-03-24,2526,1459,73,150,21,18391126,0,328
25,2020-03-25,2805,1412,101,119,26,18390821,0,399
26,2020-03-26,3066,1367,120,108,69,18390506,0,447
27,2020-03-27,3209,1413,141,118,147,18390185,0,470
28,2020-03-28,3304,1484,158,136,259,18389851,0,491
29,2020-03-29,3400,1547,174,141,383,18389514,0,524
30,2020-03-30,3519,1512,191,144,494,18389270,0,553
31,2020-03-31,3575,1448,222,144,686,18389017,0,591
32,2020-04-01,3671,1381,243,128,863,18388770,0,627
33,2020-04-02,3720,1344,269,111,1062,18388515,0,662
34,2020-04-03,3794,1316,293,80,1264,18388244,0,692
35,2020-04-04,3780,1299,310,79,1574,18388001,1,639
36,2020-04-05,3677,1313,298,79,1926,18387774,2,614
37,2020-04-06,3581,1319,266,85,2336,18387541,5,550
38,2020-04-07,3564,1310,243,93,2608,18387306,7,552
39,2020-04-08,3522,1257,262,104,2951,18387097,8,482
40,2020-04-09,3481,1242,230,102,3283,18386864,12,469
41,2020-04-10,3472,1231,226,94,3501,18386649,15,495
42,2020-04-11,3487,1196,226,80,3714,18386441,15,524
43,2020-04-12,3443,1176,232,85,3990,18386238,16,503
44,2020-04-13,3418,1171,225,82,4265,18386026,17,479
