Day,Date,Region,Hospitalized with Symptoms,Intensive Care,Total Hospitalized,Home Isolation,Current Cases,New Cases,Recovered,Dead,Total Cases,Tests,,,Day,Deaths,Day,Daily Deaths
0,2/24/2020,Lombardia,76,19,95,71,166,166,0,6,172,1463,,,,4,,
1,2/25/2020,Lombardia,79,25,104,127,231,65,0,9,240,3700,,,0,6,0,2
2,2/26/2020,Lombardia,79,25,104,145,249,18,0,9,258,3208,,,1,9,1,3
3,2/27/2020,Lombardia,172,41,213,136,349,100,40,14,403,3320,,,2,9,2,0
4,2/28/2020,Lombardia,235,47,282,192,474,125,40,17,531,4835,,,3,14,3,5
5,2/29/2020,Lombardia,256,80,336,216,552,78,40,23,615,5723,,,4,17,4,3
6,3/1/2020,Lombardia,406,106,512,375,887,335,73,24,984,6879,,,5,23,5,6
7,3/2/2020,Lombardia,478,127,605,472,1077,190,139,38,1254,7925,,,6,24,6,1
8,3/3/2020,Lombardia,698,167,865,461,1326,249,139,55,1520,9577,,,7,38,7,14
9,3/4/2020,Lombardia,877,209,1086,411,1497,171,250,73,1820,12138,,,8,55,8,17
10,3/5/2020,Lombardia,1169,244,1413,364,1777,280,376,98,2251,12354,,,9,73,9,18
11,3/6/2020,Lombardia,1622,309,1931,77,2008,231,469,135,2612,13556,,,10,98,10,25
12,3/7/2020,Lombardia,1661,359,2020,722,2742,734,524,154,3420,15778,,,11,135,11,37
13,3/8/2020,Lombardia,2217,399,2616,756,3372,630,550,267,4189,18534,,,12,154,12,19
14,3/9/2020,Lombardia,2802,440,3242,1248,4490,1118,646,333,5469,20135,,,13,267,13,113
15,3/10/2020,Lombardia,3319,466,3785,642,4427,-63,896,468,5791,21479,,,14,333,14,66
16,3/11/2020,Lombardia,3852,560,4412,1351,5763,1336,900,617,7280,25629,,,15,468,15,135
17,3/12/2020,Lombardia,4247,605,4852,2044,6896,1133,1085,744,8725,29534,,,16,617,16,149
18,3/13/2020,Lombardia,4435,650,5085,2647,7732,836,1198,890,9820,32700,,,17,744,17,127
19,3/14/2020,Lombardia,4898,732,5630,3429,9059,1327,1660,966,11685,37138,,,18,890,18,146
20,3/15/2020,Lombardia,5500,767,6267,3776,10043,984,2011,1218,13272,40369,,,19,966,19,76
21,3/16/2020,Lombardia,6171,823,6994,3867,10861,818,2368,1420,14649,43565,,,20,1218,20,252
22,3/17/2020,Lombardia,6953,879,7832,4263,12095,1234,2485,1640,16220,46449,,,21,1420,21,202
23,3/18/2020,Lombardia,7285,924,8209,4057,12266,171,3488,1959,17713,48983,,,22,1640,22,220
24,3/19/2020,Lombardia,7387,1006,8393,5545,13938,1672,3778,2168,19884,52244,,,23,1959,23,319
25,3/20/2020,Lombardia,7735,1050,8785,6635,15420,1482,4295,2549,22264,57174,,,24,2168,24,209
26,3/21/2020,Lombardia,8258,1093,9351,8019,17370,1950,5050,3095,25515,66730,,,25,2549,25,381
27,3/22/2020,Lombardia,9439,1142,10581,7304,17885,515,5865,3456,27206,70598,,,26,3095,26,546
28,3/23/2020,Lombardia,9266,1183,10449,8461,18910,1025,6075,3776,28761,73242,,,27,3456,27,361
29,3/24/2020,Lombardia,9711,1194,10905,8963,19868,958,6657,4178,30703,76695,,,28,3776,28,320
30,3/25/2020,Lombardia,10026,1236,11262,9329,20591,723,7281,4474,32346,81666,,,29,4178,29,402
31,3/26/2020,Lombardia,10681,1263,11944,10245,22189,1598,7839,4861,34889,87713,,,30,4474,30,296
32,3/27/2020,Lombardia,11137,1292,12429,11466,23895,1706,8001,5402,37298,95860,,,31,4861,31,387
33,3/28/2020,Lombardia,11152,1319,12471,12038,24509,614,8962,5944,39415,102503,,,32,5402,32,541
33,3/29/2020,Lombardia,11613,1328,12941,12451,25392,883,9255,6360,41007,107398,,,33,5944,33,542
34,3/30/2020,Lombardia,11815,1330,13145,11861,25006,1154,10337,6818,42161,111057,,,34,6360,34,416
35,3/31/2020,Lombardia,11883,1324,13207,11917,25124,1047,10885,7199,43208,114640,,,35,6818,35,458
36,4/1/2020,Lombardia,11927,1342,13269,12496,25765,1565,11415,7593,44773,121449,,,36,7199,36,381
37,4/2/2020,Lombardia,11762,1351,13113,12763,25876,1292,12229,7960,46065,128286,,,37,7593,37,394
,,,,,,,,,,,,,,,38,7960,38,367
,,,,,,,,,,,,,,,,,,
,This data is pulled from  https://github.com/pcm-dpc/COVID-19/tree/master/dati-regioni,,,,,,,,,,,,,,,,,
